lang_code,id,location_code,holiday_date,holiday_name,holiday_desc,is_active
ara,2000001,KTA,1/1/2019,يوم السنة الجديدة,عيد وطني,TRUE
eng,2000002,KTA,1/1/2019,New Year's Day,National Holiday,TRUE
fra,2000003,KTA,1/1/2019,Jour de l’an,Fête nationale,TRUE
ara,2000004,RBT,1/1/2019,يوم السنة الجديدة,عيد وطني,TRUE
eng,2000005,RBT,1/1/2019,New Year's Day,National Holiday,TRUE
fra,2000006,RBT,1/1/2019,Jour de l’an,Fête nationale,TRUE
ara,2000007,KTA,1/11/2019,ذكرى بيان الاستقلال,عيد وطني,TRUE
eng,2000008,KTA,1/11/2019,Anniversary of the Independence Manifesto,National Holiday,TRUE
fra,2000009,KTA,1/11/2019,Anniversaire du manifeste de l’indépendance,Fête nationale,TRUE
ara,2000010,RBT,1/11/2019,ذكرى بيان الاستقلال,عيد وطني,TRUE
eng,2000011,RBT,1/11/2019,Anniversary of the Independence Manifesto,National Holiday,TRUE
fra,2000012,RBT,1/11/2019,Anniversaire du manifeste de l’indépendance,Fête nationale,TRUE
ara,2000013,KTA,10/12/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000014,KTA,10/12/2019,Saturday - Weekend,Weekend,TRUE
fra,2000015,KTA,10/12/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000016,RBT,10/12/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000017,RBT,10/12/2019,Saturday - Weekend,Weekend,TRUE
fra,2000018,RBT,10/12/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000019,KTA,10/13/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000020,KTA,10/13/2019,Sunday - Weekend,Weekend,TRUE
fra,2000021,KTA,10/13/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000022,RBT,10/13/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000023,RBT,10/13/2019,Sunday - Weekend,Weekend,TRUE
fra,2000024,RBT,10/13/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000025,KTA,10/19/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000026,KTA,10/19/2019,Saturday - Weekend,Weekend,TRUE
fra,2000027,KTA,10/19/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000028,RBT,10/19/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000029,RBT,10/19/2019,Saturday - Weekend,Weekend,TRUE
fra,2000030,RBT,10/19/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000031,KTA,10/20/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000032,KTA,10/20/2019,Sunday - Weekend,Weekend,TRUE
fra,2000033,KTA,10/20/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000034,RBT,10/20/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000035,RBT,10/20/2019,Sunday - Weekend,Weekend,TRUE
fra,2000036,RBT,10/20/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000037,KTA,10/26/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000038,KTA,10/26/2019,Saturday - Weekend,Weekend,TRUE
fra,2000039,KTA,10/26/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000040,RBT,10/26/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000041,RBT,10/26/2019,Saturday - Weekend,Weekend,TRUE
fra,2000042,RBT,10/26/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000043,KTA,10/27/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000044,KTA,10/27/2019,Sunday - Weekend,Weekend,TRUE
fra,2000045,KTA,10/27/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000046,RBT,10/27/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000047,RBT,10/27/2019,Sunday - Weekend,Weekend,TRUE
fra,2000048,RBT,10/27/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000049,KTA,10/5/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000050,KTA,10/5/2019,Saturday - Weekend,Weekend,TRUE
fra,2000051,KTA,10/5/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000052,RBT,10/5/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000053,RBT,10/5/2019,Saturday - Weekend,Weekend,TRUE
fra,2000054,RBT,10/5/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000055,KTA,10/6/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000056,KTA,10/6/2019,Sunday - Weekend,Weekend,TRUE
fra,2000057,KTA,10/6/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000058,RBT,10/6/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000059,RBT,10/6/2019,Sunday - Weekend,Weekend,TRUE
fra,2000060,RBT,10/6/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000061,KTA,11/10/2019,المولد النبوي الشريف,عيد وطني,TRUE
eng,2000062,KTA,11/10/2019,The Prophet Muhammad's Birthday,National Holiday,TRUE
fra,2000063,KTA,11/10/2019,Anniversaire de Mohammed,Fête nationale,TRUE
ara,2000064,RBT,11/10/2019,المولد النبوي الشريف,عيد وطني,TRUE
eng,2000065,RBT,11/10/2019,The Prophet Muhammad's Birthday,National Holiday,TRUE
fra,2000066,RBT,11/10/2019,Anniversaire de Mohammed,Fête nationale,TRUE
ara,2000067,KTA,11/16/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000068,KTA,11/16/2019,Saturday - Weekend,Weekend,TRUE
fra,2000069,KTA,11/16/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000070,RBT,11/16/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000071,RBT,11/16/2019,Saturday - Weekend,Weekend,TRUE
fra,2000072,RBT,11/16/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000073,KTA,11/17/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000074,KTA,11/17/2019,Sunday - Weekend,Weekend,TRUE
fra,2000075,KTA,11/17/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000076,RBT,11/17/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000077,RBT,11/17/2019,Sunday - Weekend,Weekend,TRUE
fra,2000078,RBT,11/17/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000079,KTA,11/18/2019,عيد الاستقلال,عيد وطني,TRUE
eng,2000080,KTA,11/18/2019,Independence Day,National Holiday,TRUE
fra,2000081,KTA,11/18/2019,Fête de l’indépendance,Fête nationale,TRUE
ara,2000082,RBT,11/18/2019,عيد الاستقلال,عيد وطني,TRUE
eng,2000083,RBT,11/18/2019,Independence Day,National Holiday,TRUE
fra,2000084,RBT,11/18/2019,Fête de l’indépendance,Fête nationale,TRUE
ara,2000085,KTA,11/2/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000086,KTA,11/2/2019,Saturday - Weekend,Weekend,TRUE
fra,2000087,KTA,11/2/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000088,RBT,11/2/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000089,RBT,11/2/2019,Saturday - Weekend,Weekend,TRUE
fra,2000090,RBT,11/2/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000091,KTA,11/23/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000092,KTA,11/23/2019,Saturday - Weekend,Weekend,TRUE
fra,2000093,KTA,11/23/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000094,RBT,11/23/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000095,RBT,11/23/2019,Saturday - Weekend,Weekend,TRUE
fra,2000096,RBT,11/23/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000097,KTA,11/24/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000098,KTA,11/24/2019,Sunday - Weekend,Weekend,TRUE
fra,2000099,KTA,11/24/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000100,RBT,11/24/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000101,RBT,11/24/2019,Sunday - Weekend,Weekend,TRUE
fra,2000102,RBT,11/24/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000103,KTA,11/3/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000104,KTA,11/3/2019,Sunday - Weekend,Weekend,TRUE
fra,2000105,KTA,11/3/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000106,RBT,11/3/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000107,RBT,11/3/2019,Sunday - Weekend,Weekend,TRUE
fra,2000108,RBT,11/3/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000109,KTA,11/30/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000110,KTA,11/30/2019,Saturday - Weekend,Weekend,TRUE
fra,2000111,KTA,11/30/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000112,RBT,11/30/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000113,RBT,11/30/2019,Saturday - Weekend,Weekend,TRUE
fra,2000114,RBT,11/30/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000115,KTA,11/6/2019,ذكرى المسيرة الخضراء,عيد وطني,TRUE
eng,2000116,KTA,11/6/2019,Anniversary of the Green March,National Holiday,TRUE
fra,2000117,KTA,11/6/2019,Anniversaire de la marche verte,Fête nationale,TRUE
ara,2000118,KTA,11/9/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000119,KTA,11/9/2019,Saturday - Weekend,Weekend,TRUE
fra,2000120,KTA,11/9/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000121,RBT,11/9/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000122,RBT,11/9/2019,Saturday - Weekend,Weekend,TRUE
fra,2000123,RBT,11/9/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000124,KTA,12/1/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000125,KTA,12/1/2019,Sunday - Weekend,Weekend,TRUE
fra,2000126,KTA,12/1/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000127,RBT,12/1/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000128,RBT,12/1/2019,Sunday - Weekend,Weekend,TRUE
fra,2000129,RBT,12/1/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000130,KTA,12/14/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000131,KTA,12/14/2019,Saturday - Weekend,Weekend,TRUE
fra,2000132,KTA,12/14/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000133,RBT,12/14/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000134,RBT,12/14/2019,Saturday - Weekend,Weekend,TRUE
fra,2000135,RBT,12/14/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000136,KTA,12/15/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000137,KTA,12/15/2019,Sunday - Weekend,Weekend,TRUE
fra,2000138,KTA,12/15/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000139,RBT,12/15/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000140,RBT,12/15/2019,Sunday - Weekend,Weekend,TRUE
fra,2000141,RBT,12/15/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000142,KTA,12/21/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000143,KTA,12/21/2019,Saturday - Weekend,Weekend,TRUE
fra,2000144,KTA,12/21/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000145,RBT,12/21/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000146,RBT,12/21/2019,Saturday - Weekend,Weekend,TRUE
