id,name,description,data_type,value_json,lang_code,is_active,cr_by,cr_dtimes
10001,bloodType,Blood Type,string,"
	{
		""code"": ""101"",
		""value"": ""A"",
	}",eng,TRUE,superadmin,now()
10002,bloodType,Blood Type,string,"
	{
		""code"": ""102"",
		""value"": ""A+"",
	}",eng,TRUE,superadmin,now()
10003,bloodType,Blood Type,string,"
	{
		""code"": ""103"",
		""value"": ""A-"",
	}",eng,TRUE,superadmin,now()
10004,bloodType,Blood Type,string,"
	{
		""code"": ""104"",
		""value"": ""B"",
	}",eng,TRUE,superadmin,now()
10005,bloodType,Blood Type,string,"
	{
		""code"": ""105"",
		""value"": ""B+"",
	}",eng,TRUE,superadmin,now()
10006,bloodType,Blood Type,string,"
	{
		""code"": ""106"",
		""value"": ""B-"",
	}",eng,TRUE,superadmin,now()
10007,bloodType,Blood Type,string,"
	{
		""code"": ""107"",
		""value"": ""AB"",
	}",eng,TRUE,superadmin,now()
10008,bloodType,Blood Type,string,"
	{
		""code"": ""108"",
		""value"": ""AB+"",
	}",eng,TRUE,superadmin,now()
10009,bloodType,Blood Type,string,"
	{
		""code"": ""109"",
		""value"": ""AB-"",
	}",eng,TRUE,superadmin,now()
10010,bloodType,Blood Type,string,"
	{
		""code"": ""110"",
		""value"": ""O"",
	}",eng,TRUE,superadmin,now()
10011,bloodType,Blood Type,string,"
	{
		""code"": ""111"",
		""value"": ""O+""
	}",eng,TRUE,superadmin,now()
10012,bloodType,Blood Type,string,"
	{
		""code"": ""112"",
		""value"": ""O-""
	}",eng,TRUE,superadmin,now()
10013,bloodType,Blood Type,string,"
	{
		""code"": ""113"",
		""value"": ""Don't Know""
	}",eng,TRUE,superadmin,now()
10014,bloodType,Blood Type,string,"
	{
		""code"": ""114"",
		""value"": ""Not Applicable""
	}",eng,TRUE,superadmin,now()
10015,maritalStatus,Marital Status,string,"
	{
		""code"": ""101"",
		""value"": ""Single""
	}",eng,TRUE,superadmin,now()
10016,maritalStatus,Marital Status,string,"
	{
		""code"": ""102"",
		""value"": ""Married""
	}",eng,TRUE,superadmin,now()
10017,maritalStatus,Marital Status,string,"
	{
		""code"": ""103"",
		""value"": ""Widowed""
	}",eng,TRUE,superadmin,now()
10018,maritalStatus,Marital Status,string,"
	{
		""code"": ""104"",
		""value"": ""Divorced""
	}",eng,TRUE,superadmin,now()
10019,maritalStatus,Marital Status,string,"
	{
		""code"": ""105"",
		""value"": ""Legally Separated""
	}",eng,TRUE,superadmin,now()
10020,maritalStatus,Marital Status,string,"
	{
		""code"": ""106"",
		""value"": ""Annulled""
	}",eng,TRUE,superadmin,now()
10021,maritalStatus,Marital Status,string,"
	{
		""code"": ""107"",
		""value"": ""Nullified""
	}",eng,TRUE,superadmin,now()
10022,registrationType,Registration Type,string,"
	{
		""code"": ""Document-based"",
		""value"": ""Document-based""
	}",eng,TRUE,superadmin,now()
10023,registrationType,Registration Type,string,"
	{
		""code"": ""Introducer-based"",
		""value"": ""Introducer-based""
	}",eng,TRUE,superadmin,now()
10024,modeOfClaim,Mode of Claim,string,"
	{
		""code"": ""101"",
		""value"": ""Pick-up""
	}",eng,TRUE,superadmin,now()
10025,modeOfClaim,Mode of Claim,string,"
	{
		""code"": ""102"",
		""value"": ""Delivery to permanent address""
	}",eng,TRUE,superadmin,now()
10026,modeOfClaim,Mode of Claim,string,"
	{
		""code"": ""103"",
		""value"": ""Delivery to present address""
	}",eng,TRUE,superadmin,now()
10027,gender,Gender,string,"
	{
		""code"": ""MLE"",
		""value"": ""Male""
	}",eng,TRUE,superadmin,now()
10028,gender,Gender,string,"
	{
		""code"": ""FLE"",
		""value"": ""Female""
	}",eng,TRUE,superadmin,now()
10029,gender,Gender,string,"
	{
		""code"": ""OTH"",
		""value"": ""Others""
	}",eng,TRUE,superadmin,now()
10030,residenceStatus,residenceStatus,string,"
	{
		""code"": ""FR"",
		""value"": ""Foreigner""
	}",eng,TRUE,superadmin,now()
10031,residenceStatus,residenceStatus,string,"
	{
		""code"": ""NFR"",
		""value"": ""Non-Foreigner""
	}",eng,TRUE,superadmin,now()
10310,preferredLang,user preferred Language,string,"{""value"":""English"",""code"":""eng""}",eng,TRUE,superadmin,now()
10313,preferredLang,user preferred Language,string,"{""value"":""français"",""code"":""fra""}",eng,TRUE,superadmin,now()
10317,preferredLang,Langue préférée de l'utilisateur,string,"{""value"":""English"",""code"":""eng""}",fra,TRUE,superadmin,now()
10319,preferredLang,Langue préférée de l'utilisateur,string,"{""value"":""français"",""code"":""fra""}",fra,TRUE,superadmin,now()
10063,bloodType,Blood Type,string,"
	{
		""code"": ""101"",
		""value"": ""A"",
	}",fra,TRUE,superadmin,now()
10064,bloodType,Blood Type,string,"
	{
		""code"": ""102"",
		""value"": ""A+"",
	}",fra,TRUE,superadmin,now()
10065,bloodType,Blood Type,string,"
	{
		""code"": ""103"",
		""value"": ""A-"",
	}",fra,TRUE,superadmin,now()
10066,bloodType,Blood Type,string,"
	{
		""code"": ""104"",
		""value"": ""B"",
	}",fra,TRUE,superadmin,now()
10067,bloodType,Blood Type,string,"
	{
		""code"": ""105"",
		""value"": ""B+"",
	}",fra,TRUE,superadmin,now()
10068,bloodType,Blood Type,string,"
	{
		""code"": ""106"",
		""value"": ""B-"",
	}",fra,TRUE,superadmin,now()
10069,bloodType,Blood Type,string,"
	{
		""code"": ""107"",
		""value"": ""AB"",
	}",fra,TRUE,superadmin,now()
10070,bloodType,Blood Type,string,"
	{
		""code"": ""108"",
		""value"": ""AB+"",
	}",fra,TRUE,superadmin,now()
10071,bloodType,Blood Type,string,"
	{
		""code"": ""109"",
		""value"": ""AB-"",
	}",fra,TRUE,superadmin,now()
10072,bloodType,Blood Type,string,"
	{
		""code"": ""110"",
		""value"": ""O"",
	}",fra,TRUE,superadmin,now()
10073,bloodType,Blood Type,string,"
	{
		""code"": ""111"",
		""value"": ""O+""
	}",fra,TRUE,superadmin,now()
10074,bloodType,Blood Type,string,"
	{
		""code"": ""112"",
		""value"": ""O-""
	}",fra,TRUE,superadmin,now()
10075,bloodType,Blood Type,string,"
	{
		""code"": ""113"",
		""value"": ""Je ne sais pas""
	}",fra,TRUE,superadmin,now()
10076,bloodType,Blood Type,string,"
	{
		""code"": ""114"",
		""value"": ""N'est pas applicable""
	}",fra,TRUE,superadmin,now()
10077,maritalStatus,Marital Status,string,"
	{
		""code"": ""101"",
		""value"": ""Seule""
	}",fra,TRUE,superadmin,now()
10078,maritalStatus,Marital Status,string,"
	{
		""code"": ""102"",
		""value"": ""Mariée""
	}",fra,TRUE,superadmin,now()
10079,maritalStatus,Marital Status,string,"
	{
		""code"": ""103"",
		""value"": ""Veuve""
	}",fra,TRUE,superadmin,now()
10080,maritalStatus,Marital Status,string,"
	{
		""code"": ""104"",
		""value"": ""Divorcée""
	}",fra,TRUE,superadmin,now()
